# nsfnet
# delay

N,DIAMOND,DQN+GNN,RandomBL,OSPF,DIAR,IACR
5,3.6,4,5.2,4,3.5,3.8
10,4.7,5.8,7,5.1,4.6,4.4
20,6.4,7.1,8.7,6.6,6.9,6.8
30,7.9,8.5,10.6,9,9,7.7
40,9.7,10.3,13.4,10.5,10.8,9.9
50,10.9,14.5,16.3,12.6,12.1,10.7
60,13.2,14.7,18.4,13.3,14.4,13
70,13.9,16,20.7,16,16.4,14.1
80,15,17.5,21,19.487,19.2,15.9
