# nsfnet
# rates

N,DIAMOND,DQN+GNN,RandomBL,OSPF,DIAR,IACR
5,155.6,152.62,132.28,152.52,152.96,151.54
10,149.71,136.88,99.42,137.52,142.1,131.47
20,142.845,116.15,86.66,107.81,124.63,93.89
30,130.143,96.46,55.573,75.253,108.717,73.02
40,111.895,81.272,38.755,51.72,89.127,52.355
50,96.492,72.232,34.088,36.408,74.794,40.378
60,83.558,60.698,20.945,27.193,63.288,33.742
70,72.677,53.178,15.489,21.088,54.157,26.323
80,65.096,47.426,14.693,16.907,47.014,23.366
