# geant2
# delay

N,DIAMOND,DQN+GNN,RandomBL,OSPF,DIAR,IACR
5,6.1,5,6.1,5.4,5.7,5.9
10,6.5,7,7.4,6.7,6,5.7
20,8.8,9.2,11.1,8.5,8.6,8
30,10.5,12.2,12.4,11.3,10.9,10.6
40,12.3,15.1,15.6,13.2,12.6,12.6
50,15.8,15.3,19.8,15,15.9,15.3
60,19.3,18.8,24.2,19.2,20.9,19.2
70,21.1,20,25.2,22.5,22.6,20.2
80,24.9,24,26.3,25.4,25.3,24
90,27,28.7,33.6,28.7,28.1,27.5
